Country,Infants exclusively breastfed (% ages 0Ð5 months) 2008Ð2013,Infants lacking immunization (% of one-year-olds) DTP 2013,Infants lacking immunization (% of one-year-olds) Measles 2013,"Mortality rates (per 1,000 live births) Infant 2013","Mortality rates (per 1,000 live births) Under-five 2013",Child malnutrition (% under age 5) Stunting (moderate or severe) 2008Ð2013,"Adult mortality rate (per 1,000 people) Female 2013","Adult mortality rate (per 1,000 people) Male 2013","Deaths due to Malaria (per 100,000 people) 2012","Deaths due to Tuberculosis (per 100,000 people) 2012","HIV prevalence, adult (% ages 15Ð49) 2013",Life expectancy at age 60 (years) 2010/2015,"Physicians (per 10,000 people) 2001Ð2013",Public health expenditure (% of GDP) 2013
Togo,62.4,6,28,55.8,84.7,29.8,279,323,82.8,8.7,2.3,14.5,0.5,8.6
Burkina Faso,38.2,6,18,64.1,97.6,32.9,256,298,103.3,8.5,0.9,15.1,0.5,6.4
Korea (Democratic People's Rep. of),68.9,6,1,21.7,27.4,27.9,111,183,0.0,9.0,,16.8,32.9,
New Zealand,,7,8,5.2,6.3,,52,80,,0.1,,24.1,27.4,9.7
Austria,,7,24,3.2,3.9,,46,91,,0.4,,23.9,48.3,11.0
Argentina,32.7,7,9,11.9,13.3,8.2,83,151,,1.3,,21.4,31.6,7.3
Barbados,19.7,7,10,13.3,14.4,,65,116,,0.7,0.9,19.5,18.1,6.8
Panama,,7,8,15.4,17.9,19.1,81,149,0.0,4.9,0.6,23.9,15.5,7.2
Paraguay,24.4,7,8,18.7,21.9,17.5,96,178,0.0,3.0,0.4,20.8,11.1,9.0
Cabo Verde,59.6,7,9,21.9,26.0,21.4,68,144,0.0,23.0,0.5,19.9,3.0,4.4
C™te d'Ivoire,12.1,7,26,71.3,100.0,29.6,398,410,70.6,22.0,2.7,13.9,1.4,5.7
Mozambique,42.8,7,15,61.5,87.2,43.1,432,438,71.4,53.0,10.8,16.8,0.4,6.8
Australia,,8,6,3.4,4.0,,45,78,,0.2,0.2,25.1,32.7,9.0
Chile,,8,10,7.1,8.2,1.8,55,107,,1.2,0.3,23.6,10.2,7.7
Guinea-Bissau,38.3,8,31,77.9,123.9,32.2,325,393,96.2,29.0,3.7,14.9,0.7,5.5
Arab States,30.1,9,15,28.6,37.6,25.7,124,172,,8.2,0.1,19.0,13.8,4.1
World,37.4,9,16,33.6,45.6,29.7,120,181,,13.4,1.1,20.7,13.8,9.9
Dominican Republic,6.7,9,21,23.6,28.1,10.1,146,160,0.1,4.4,0.7,21.9,14.9,5.4
Small island developing states,35.9,9,22,36.8,47.8,23.7,153,202,,16.5,1.1,19.3,22.6,6.5
Medium human development,43.8,10,20,35.2,44.5,40.2,148,225,6.6,23.0,0.9,18.5,7.7,4.6
Developing countries,37.5,10,17,37,49.3,31.0,134,192,14.0,15.8,1.2,19.0,10.3,5.6
Venezuela (Bolivarian Republic of),,10,15,12.9,14.9,13.4,88,198,2.2,2.4,0.6,21.1,19.4,3.4
Mexico,14.4,10,11,12.5,14.5,13.6,93,174,0.0,1.8,0.2,22.7,21.0,6.2
Ukraine,19.7,10,21,8.6,10.0,3.7,114,295,,13.0,0.8,17.4,35.3,7.8
Congo,20.5,10,35,35.6,49.1,25.0,280,323,103.8,42.0,2.5,17.1,1.0,4.1
Myanmar,23.6,10,14,39.8,50.5,35.1,183,240,11.3,48.0,0.6,16.6,6.1,1.8
Least developed countries,45.9,11,21,54.6,78.8,40.5,223,266,47.3,32.1,1.9,16.8,1.8,5.2
Lao People's Democratic Republic,40.4,11,18,53.8,71.4,43.8,158,197,9.5,11.0,0.1,17.1,1.8,2.0
Uganda,63.2,11,18,43.8,66.1,33.7,307,380,57.9,13.0,7.4,17.5,1.2,9.8
South Asia,47.9,12,24,43.2,54.9,45.1,151,222,4.4,24.4,0.2,18.6,6.8,4.3
India,46.4,12,26,41.4,52.7,47.9,158,239,4.1,22.0,0.3,17.0,7.0,4.0
Honduras,31.2,12,11,18.9,22.2,22.7,120,173,0.1,2.9,0.5,22.1,3.7,8.6
Solomon Islands,73.7,12,24,25.1,30.1,32.8,162,203,5.5,15.0,,16.9,2.2,5.1
Papua New Guinea,56.1,12,30,47.3,61.4,49.5,243,319,40.3,54.0,0.6,14.9,0.5,4.5
Djibouti,1.3,13,20,57.4,69.6,33.5,245,286,27.9,76.0,0.9,17.5,2.3,8.9
Timor-Leste,51.5,14,30,46.2,54.6,57.7,164,208,16.2,74.0,,16.9,0.7,1.3
Zambia,60.9,14,20,55.8,87.4,45.8,303,356,79.2,28.0,12.5,17.0,0.7,5.0
Haiti,39.7,14,35,54.7,72.8,21.9,221,263,5.1,25.0,2.0,17.2,,9.4
Afghanistan,,14,25,70.2,97.3,59.3,232,252,0.2,37.0,0.1,15.9,2.3,8.1
Congo (Democratic Republic of the),37.0,14,27,86.1,118.5,43.5,320,379,106.6,54.0,1.1,15.2,1.1,3.5
Comoros,12.1,15,18,57.9,77.9,32.1,234,281,70.4,6.3,,15.9,1.5,5.8
Benin,32.5,15,37,56.2,85.3,44.7,238,284,79.6,9.4,1.1,15.6,0.6,4.6
Niger,23.3,15,33,59.9,104.2,43.0,241,252,131.1,16.0,0.4,15.5,0.2,6.5
Lebanon,14.8,16,21,7.8,9.1,16.5,46,70,,1.5,,22.7,32.0,7.2
Ethiopia,52.0,16,38,44.4,64.4,44.2,198,239,48.1,18.0,1.2,17.8,0.3,5.1
Low human development,36.0,17,27,61.5,89.4,39.5,249,291,54.5,27.3,2.4,16.2,2.9,4.5
Viet Nam,17.0,17,2,19.0,23.8,23.3,69,189,0.2,20.0,0.4,22.4,11.6,6.0
Sub-Saharan Africa,35.4,18,26,60.8,91.2,37.2,288,337,72.9,26.4,4.7,16.6,1.9,5.6
Iraq,19.6,18,37,28.0,34.0,22.6,104,203,,2.9,,17.5,6.1,5.2
Kenya,31.9,18,7,47.5,70.7,35.2,250,299,49.6,22.0,6.0,17.8,1.8,4.5
Mali,20.4,18,28,77.6,122.7,38.5,275,277,92.1,9.0,0.9,15.4,0.8,7.1
Gabon,6.0,20,30,39.1,56.1,17.5,235,296,67.4,44.0,3.9,18.2,2.9,3.8
Madagascar,41.9,20,37,39.6,56.0,49.2,208,257,41.4,46.0,0.4,16.9,1.6,4.2
Pakistan,37.7,21,39,69.0,85.5,45.0,155,189,1.8,34.0,0.1,17.4,8.3,2.8
Vanuatu,40.0,22,48,14.6,16.9,25.9,113,161,3.7,7.9,,18.0,1.2,3.9
Guinea,20.5,24,38,64.9,100.7,31.3,267,301,104.8,23.0,1.7,14.8,1.0,4.7
Marshall Islands,31.3,27,30,30.6,37.5,,104,153,,111.0,,,4.4,16.5
San Marino,,28,26,2.8,3.1,,46,54,,0.0,,,51.3,6.5
South Africa,8.3,31,34,32.8,43.9,23.9,320,441,2.2,59.0,19.1,16.0,7.8,8.9
Nigeria,17.4,37,41,74.3,117.4,36.4,325,357,106.6,16.0,3.2,13.7,4.1,3.9
South Sudan,45.1,43,70,64.1,99.2,31.1,323,353,55.4,30.0,2.2,16.4,,2.2
Syrian Arab Republic,42.6,45,39,11.9,14.6,27.5,73,116,,2.1,,19.9,15.0,3.3
Equatorial Guinea,7.4,45,58,69.3,95.8,26.2,319,368,69.3,0.0,,15.9,3.0,3.5
Chad,3.4,45,41,88.5,147.5,38.7,377,410,152.6,18.0,2.5,15.6,0.4,3.6
Somalia,9.1,48,54,89.8,145.6,42.1,289,339,33.5,64.0,0.5,16.1,0.4,
Central African Republic,34.3,65,75,96.1,139.2,40.7,412,433,114.9,50.0,3.8,15.9,0.5,3.9
"Hong Kong, China (SAR)",,,,,,,,,,2.6,,25.4,,
Liechtenstein,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

































